rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
68,spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,Travis Scott,Goosebumps  Remix,Epic,32,59,26,8523414
69,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,RCA Records Label,38,77,5,8376697
70,spotify:track:2MnLkFqY9Rpg9s3Zv6ZJdK,Gera MX,Botella Tras Botella,Virgin Music Mexico,9,62,12,8375312
71,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,35,70,46,8301997
72,spotify:track:5jzEwSyyymBlf1fa1o39T2,Mora,512,Rimas Entertainment LLC,55,72,11,8179970
73,spotify:track:0siYMEsGrzzzlWLXK5zJfS,Joel Corry,BED,Asylum Records,42,69,18,8003058
74,spotify:track:6cx06DFPPHchuUAcTxznu9,Joel Corry,Head and Heart feat MNEK,Atlantic Records UK,11,74,53,7899458
75,spotify:track:27OeeYzk6klgBh83TSvGMA,The Kid LAROI,WITHOUT YOU,Columbia,7,84,32,7884409
76,spotify:track:1J14CdDAvBTE1AJYUOwl6C,Duncan Laurence,Arcade,"Universal Music, a division of Universal International Music BV",23,61,27,7876930
77,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,Elektra (NEK),1,73,104,7840533
78,spotify:track:1QL7nSDZCwZMnbisV4KOXt,WILLOW,t r a n s p a r e n t s o u l feat Travis Barker,"Roc Nation Records, LLC",60,65,6,7784197
79,spotify:track:7MC4XR9M9amdmKQr2iDF7i,Justin Wellington,Iko Iko My Bestie,RCA Records Label,78,78,6,7582715
80,spotify:track:4DHDIdeayp8xvlyg22wREO,Natti Natasha,Ram Pam Pam,Sony Music Latin,75,75,8,7569115
81,spotify:track:5u7twkeask1VIyDeNTElSU,Sech,Sal y Perrea,Rich Music,59,76,9,7480016
82,spotify:track:2TOzTqQXNmR2zDJXihjZ2e,Olivia Rodrigo,enough for you,Olivia Rodrigo PS,11,64,8,7447752
83,spotify:track:1m0UFnuTktOkksvjbF9z0m,Vegedream,Ramenez la coupe a la maison,Universal Music Division Island Def Jam,68,68,4,7367476
84,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,1,87,98,7365666
85,spotify:track:5ajjAnNRh8bxFvaVHzpPjh,Madison Beer,Reckless,Epic,85,88,3,7176234
86,spotify:track:5B0kgjHULYJhAQkK5XsMoC,Tyler The Creator,WUSYANAME feat Youngboy Never Broke Again and Ty Dolla Sign,Columbia,22,47,3,7159401
87,spotify:track:2XIc1pqjXV3Cr2BQUGNBck,Bad Bunny,LA NOCHE DE ANOCHE,Rimas Entertainment LLC,2,82,33,7158471
88,spotify:track:1nahzW3kfMuwReTka28tH5,Justin Bieber,Hold On,Def Jam,5,66,19,7148895
89,spotify:track:161DnLWsx1i3u1JT05lzqU,Bruno Mars,Talking to the Moon,Atlantic Records,45,85,17,7041842
90,spotify:track:1M4OcYkxAtu3ErzSgDEfoi,Cardi B,Up,Atlantic Records,14,81,23,7026154
91,spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,Republic Records,1,92,38,6976970
92,spotify:track:0zLCBJZSiELJf02ucPP9wb,SAINt JHN,Roses  Imanbek Remix,HITCO,3,89,83,6975407
93,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,Lewis Capaldi,Before You Go,Vertigo Berlin,19,94,86,6969937
94,spotify:track:74znaWw1hmQBusGPSOuTFy,MYA,250 Remix,Columbia,80,80,3,6962068
95,spotify:track:39LLxExYz6ewLAcYrzQQyP,Dua Lipa,Levitating,Warner Records,52,86,17,6955965
96,spotify:track:6PDlkWmrq2ZKiUuFt2aQsH,Justin Quiles,Loco,WEA Latina,96,114,6,6884783
97,spotify:track:7hxHWCCAIIxFLCzvDgnQHX,Internet Money,Lemonade feat Gunna Don Toliver and NAV,TenThousand Projects,2,96,48,6807059
98,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,Interscope Records,16,99,232,6792867
99,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,1,98,233,6716002
100,spotify:track:0vR2rIVORmgeKiGIgNT0fV,Calvin Harris,By Your Side feat Tom Grennan,Columbia,80,102,6,6713863
101,spotify:track:0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,lovely with Khalid,Darkroom,24,106,169,6705833
102,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,Post Malone,Sunflower  SpiderMan Into the SpiderVerse,Republic Records,1,104,143,6664320
103,spotify:track:60ynsPSSKe6O3sfwRnIBRf,Doja Cat,Streets,RCA Records Label,9,100,27,6585695
104,spotify:track:0xBQvhJAm6f7J142ympKOn,Mari Fernandez,Nao Nao Vou,Sony Music Entertainment,103,103,3,6584903
105,spotify:track:4wcBRRpIfesgcyUtis7PEg,Olivia Rodrigo,1 step forward 3 steps back,Olivia Rodrigo PS,13,83,8,6583677
106,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,Atlantic Records UK,4,108,226,6499767
107,spotify:track:45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first,RCA Records Label,13,117,53,6468971
108,spotify:track:7ytR5pFWmSjzHJIeQkgog4,DaBaby,ROCKSTAR feat Roddy Ricch,Interscope Records,1,105,65,6404338
109,spotify:track:4HzqWEdAbzcVFDv0pvxV4w,Maluma,Sobrio,Sony Music Latin,109,-1,1,6373836
110,spotify:track:20BOju91NaEFK5Py4VJ2pp,Saweetie,Best Friend feat Doja Cat,Warner Records,45,97,27,6368745
111,spotify:track:2xdwCJLfKCkat14mlgR26M,Billie Eilish,Lost Cause,Interscope Records,15,91,6,6367034
112,spotify:track:3Iba59sFmGhQ4kbCY5L8AX,Tom Grennan,Little Bit of Love,Insanity Records,110,110,11,6326279
113,spotify:track:1diS6nkxMQc3wwC4G1j0bh,Dua Lipa,Were Good,Warner Records,22,93,22,6318660
114,spotify:track:7COGuXyTr12KvdaYXMqheC,BANDIDO,No Me Conocen Remix con DUKI Rei and Tiago PZK,DALE PLAY Records,114,129,3,6306995
115,spotify:track:1xK1Gg9SxG8fy2Ya373oqb,Myke Towers,Bandido,White World Music,5,90,30,6293982
116,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,Senorita,Island Records,1,116,108,6273213
117,spotify:track:63aj87TQG6F3RVO5nbG2VQ,J Balvin,In Da Getto,"Sueños Globales, LLC",111,111,2,6267982
118,spotify:track:1v1oIWf2Xgh54kIWuKsDf6,AURORA,Runaway,Glassnote Entertainment Group LLC,19,107,16,6256261
119,spotify:track:2BITQ360Knh6qNAOqR7Dyq,Trippie Redd,Miss The Rage feat Playboi Carti,10K Projects,19,120,10,6209063
120,spotify:track:249gnXrbfmV8NG6jTEMSwD,BTS,Life Goes On,BIGHIT MUSIC,4,-1,29,6142975
121,spotify:track:1YDebgap5OFwXEBG18NJvy,DaBaby,Red Light Green Light,Interscope Records,121,147,3,6142154
122,spotify:track:0UKUfxIkDAMZz7hMdiVX3m,Pink,Cover Me In Sunshine,RCA Records Label,59,115,16,6121090
123,spotify:track:2p2Q23iaaPSEa1tI6TsCVX,Sech,911,Rich Music,28,95,22,6111108
124,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,Columbia,76,119,14,6098705
125,spotify:track:4cktbXiXOapiLBMprHFErI,Maroon 5,Memories,Interscope Records,2,121,95,6084901
126,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,Republic Records,12,128,51,6076670
127,spotify:track:5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Daddy Issues,Columbia,99,127,40,6044201
128,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Matheus Fernandes,Baby Me Atende,Som Livre,128,135,5,6031099
129,spotify:track:6ft4hAq6yde8jPZY2i5zLr,MEDUZA,Paradise feat Dermot Kennedy,Universal-Island Records Ltd.,25,125,37,5988774
130,spotify:track:6w8yBI2vthyN9UnwO4UBWb,Tiago PZK,Entre Nosotros,WM Chile,130,-1,1,5980349
131,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Riptide,Atlantic Records,130,130,35,5948958
132,spotify:track:4u7EnebtmKWzUH433cf5Qv,Queen,Bohemian Rhapsody  Remastered 2011,Hollywood Records,11,137,148,5915551
133,spotify:track:3J8EOeKLTLXORtWPpOU5bE,Lil Tjay,Calling My Phone,Columbia,4,123,22,5915507
134,spotify:track:1fxYz1s15pyZLsJT0Hdh1m,Roddy Ricch,late at night,Atlantic Records,58,118,6,5914394
135,spotify:track:6OufwUcCqo81guU2jAlDVP,Shouse,Love Tonight  Edit,Hell Beach,135,188,2,5892485
136,spotify:track:1yoMvmasuxZfqHEipJhRbp,Maluma,Hawai,Sony Music Latin,2,136,50,5881362
137,spotify:track:2pPO9YecZimmuVQfIzfV6U,Ofenbach,Wasted Love feat Lagique,Elektra France,90,134,16,5860774
138,spotify:track:6uvMKqNlrSvcC4NaKnrwjZ,Tion Wayne,Body Remix feat ArrDee E1 3x3 ZT 3x3 Bugzy Malone Buni Fivio Foreign and Darkoo,Atlantic Records UK,17,112,11,5845913
139,spotify:track:1f3yAtsJtY87CTmM8RLnxf,Nirvana,Smells Like Teen Spirit,Geffen,139,157,28,5836701
140,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Nights,Universal Music AB,44,150,18,5811790
141,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me to Church,Columbia,108,141,40,5776214
142,spotify:track:2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,Shallow,A Star is Born OST,3,139,146,5765879
143,spotify:track:27RSJHEA99Y0Vsow7nA37A,Sech,911  Remix,Rich Music,143,-1,1,5763590
144,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,Interscope Records,1,149,120,5760488
145,spotify:track:2H7jZg2HliuQhZjfBblLrZ,Pashanim,Sommergewitter,Urban,105,113,3,5758328
146,spotify:track:0qxLQ6opocOGyFnlXqJ53x,Mc Davi,Bipolar,GR6 Music,79,126,10,5744691
147,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,Epic,13,138,205,5722833
148,spotify:track:5SwyN9hzmWjBsINlif8li8,Gusttavo Lima,Ficha Limpa,Sony Music Entertainment,148,185,2,5718574
149,spotify:track:6pQKUKBpwr6GhfhcFFFozo,MC Zaquin,Nao Nasceu pra Namorar,Funk Explode Records,149,158,3,5670628
150,spotify:track:2CVChktEKBsM6v4IfdFU5k,dhruv,double take,RCA Records Label,150,-1,1,5658091
151,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,Cochise,Tell Em,Columbia,110,148,7,5621828
152,spotify:track:079Ey5uxL04AKPQgVQwx5h,Selena Gomez,Baila Conmigo with Rauw Alejandro,Selena Gomez Latin Project,17,109,24,5588217
153,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,121,152,30,5569728
154,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,Juice WRLD Mixtape,3,151,166,5567512
155,spotify:track:0nrRP2bk19rLc0orkWPQk2,Avicii,Wake Me Up,Universal Music AB,13,153,45,5565873
156,spotify:track:4Oun2ylbjFKMPTiaSbbCih,Cardi B,WAP feat Megan Thee Stallion,Atlantic Records,1,145,49,5553798
157,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Wont Let Go,Columbia,7,154,235,5549447
158,spotify:track:59L8x0xy8njj75vzVCPMqg,Becky G,FULANITO,RCA Records Label,158,-1,1,5541657
159,spotify:track:2d1MywHy6FwKdzxFuSJnwl,Imagine Dragons,Wrecked,Interscope Records,71,71,2,5538394
160,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,Ariana Grande,34+35,Republic Records,5,146,37,5494410
161,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Counting Stars,Interscope Records,147,162,22,5488131
162,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams  2004 Remaster,Warner Records,20,144,42,5486657
163,spotify:track:2aTKrdenCq5qBOoJPFdn4P,Jamie Miller,Heres Your Perfect,Atlantic Records,163,194,2,5479205
164,spotify:track:15qKrPi4Kg0z7g9HlwWyeb,Bas,The Jackie with J Cole and Lil Tjay,Interscope Records,164,-1,1,5454994
165,spotify:track:1zejeOnykpCoyVSit6Bwp3,Olivia Rodrigo,hope ur ok,Olivia Rodrigo PS,22,122,8,5435614
166,spotify:track:7FdUvDkaE24o3FPIWTvzv2,Imagine Dragons,Follow You,Interscope Records,75,143,18,5427453
167,spotify:track:2oUwMN5VfdGX10XeQJLBBi,Dave,Clash feat Stormzy,Neighbourhood,167,-1,1,5425184
168,spotify:track:1tkg4EHVoqnhR6iFEXb60y,Pop Smoke,What You Know Bout Love,Victor Victor Worldwide,6,171,45,5416902
169,spotify:track:2dNhNlpZAtV4lwAFW45LIv,Nio Garcia,AM,"Flow La Movie, Inc.",13,124,14,5404538
170,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,144,172,31,5362296
171,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr Brightside,Island Records,148,155,57,5361324
172,spotify:track:3jjujdWJ72nww5eGnfs2E7,Harry Styles,Adore You,Columbia,6,156,84,5361300
173,spotify:track:7eJMfftS33KTjuF7lTsMCx,"Powfu, beabadoobee",death bed coffee for your head,Columbia,4,161,74,5322519
174,spotify:track:0FqVtQxRD3HsPltldG5v5M,Joao Gomes,Aquelas Coisas,Sua Música,174,-1,1,5319847
175,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,RCA Records Label,5,165,29,5301071
176,spotify:track:1x3Qb8np6S1UvpSLthwEJN,BLANCO,MI FAI IMPAZZIRE,Universal Music Italia srL.,175,175,3,5296675
177,spotify:track:0PvFJmanyNQMseIFrU708S,Pop Smoke,For The Night feat Lil Baby and DaBaby,Victor Victor Worldwide,7,168,54,5295009
178,spotify:track:7Kba4OaxQFQ1zlknQUpNqN,Israel and Rodolffo,Faz Amor Comigo So Hoje  Ao Vivo,Som Livre,169,169,2,5269757
179,spotify:track:3iPbmpKBMflYd7UjdYftoj,TWICE,AlcoholFree,Republic Records - TWICE,80,140,5,5259503
180,spotify:track:5vdp5UmvTsnMEMESIF2Ym7,Queen,Another One Bites The Dust  Remastered 2011,Hollywood Records,36,166,77,5245550
181,spotify:track:7LAmsNJpBaNvNg7VZPXxSv,Sarah Cothran,As the World Caves In,Republic Records,181,181,2,5217205
182,spotify:track:1VLtjHwRWOVJiE5Py7JxoQ,Polo G,Martin and Gina,Columbia,80,176,39,5199520
183,spotify:track:4PQdrXMDHDPl1RczrrlADd,Luan Santana,MORENA,Sony Music Entertainment,183,-1,1,5194349
184,spotify:track:67G6iaOw8DZqp1z8STR89R,BIA,WHOLE LOTTA MONEY feat Nicki Minaj  Remix,Epic,184,-1,1,5186354
185,spotify:track:3U4isOIWM3VvDubwSI3y7a,John Legend,All of Me,Columbia,110,180,124,5182506
186,spotify:track:0cu0rhnlCnJ7JIeHRiLpj3,DaBaby,Ball If I Want To,Interscope Records,120,142,3,5177430
187,spotify:track:34chhNX59Wo9HMFCsI3K8Y,Kane Brown,Memory,RCA Records Label,187,-1,1,5173178
188,spotify:track:1zi7xx7UVEFkmKfv06H8x0,Drake,One Dance,Universal Records,12,170,104,5169090
189,spotify:track:2IePEfMAtqWS6rLXXFZIgI,Internet Money,His and Hers feat Don Toliver Lil Uzi Vert and Gunna,10K Projects,122,186,4,5146943
190,spotify:track:2tnVG71enUj33Ic2nFN6kZ,Regard,Ride It,Ministry of Sound Recordings,12,178,97,5119428
191,spotify:track:3H7ihDc1dqLriiWXwsc2po,Topic,Breaking Me,Virgin,8,179,69,5113515
192,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,Republic Records,1,177,128,5086197
193,spotify:track:5fwSHlTEWpluwOM0Sxnh5k,Farruko,Pepas,Sony Music Latin,193,-1,1,5078929
194,spotify:track:6Et5KimMg3IXwD6lJPGmQw,Alex Rose,Me Fije,WK Records,183,183,4,5068677
195,spotify:track:4wQUopWk9Ed7Ng5qpKN5qd,Dj Guuga,Volta Bebe Volta Nenem,GR6 Music,71,133,13,5041120
196,spotify:track:5RAIMjdrCEjpjaR5tBATXU,Maluma,Aloha,Hear This Music,95,174,13,5036030
197,spotify:track:5zqObw7wjBgL9TDiAymxPn,Anne-Marie,Our Song,Atlantic Records,100,187,8,4976121
198,spotify:track:0giiXonRhODYy4J1iy4Lb3,Rauw Alejandro,Sexo Virtual,Sony Music Latin,184,184,2,4975786
199,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer,Columbia,2,196,176,4954679
200,spotify:track:5qqabIl2vWzo9ApSC317sa,Oasis,Wonderwall  Remastered,Big Brother Recordings Ltd,152,-1,100,4938180
